Happiness Score,GDP per capita,Social support,Healthy life expectancy,Freedom
4.559,0.682,0.811,0.343,0.514
4.5,0.532,0.85,0.579,0.58
4.471,0.918,1.314,0.672,0.585
4.456,1.01,0.971,0.536,0.304
4.447,0.37,1.233,0.152,0.367
4.441,0.874,1.281,0.365,0.519
4.433,0.549,1.088,0.457,0.696
4.424,0.314,1.097,0.254,0.312
4.419,0.885,1.025,0.553,0.312
4.417,0.198,0.902,0.173,0.531
4.41,0.493,1.048,0.454,0.504
4.377,0.562,1.047,0.295,0.503
4.356,0.557,1.245,0.292,0.129
4.35,0.308,0.95,0.391,0.452
4.34,0.853,0.592,0.643,0.375
4.321,0.816,0.99,0.666,0.26
4.308,0.682,1.174,0.429,0.58
4.301,0.358,0.907,0.053,0.189
4.245,0.069,1.136,0.204,0.312
4.19,0.721,0.747,0.485,0.539
4.166,0.131,0.867,0.221,0.39
4.161,0.322,1.09,0.237,0.45
4.141,0.378,0.372,0.24,0.44
4.139,0.605,1.24,0.312,0.016
4.103,0.793,1.413,0.609,0.163
3.999,0.259,0.474,0.253,0.434
3.964,0.344,0.792,0.211,0.394
3.808,0.472,1.215,0.079,0.423
3.795,0.73,1.125,0.269,0.0
3.774,0.262,0.908,0.402,0.221
3.692,0.357,1.094,0.248,0.406
3.632,0.332,0.537,0.255,0.085
3.59,1.017,1.174,0.417,0.557
3.587,0.186,0.541,0.306,0.531
3.582,0.315,0.714,0.289,0.025
3.495,0.076,0.858,0.267,0.419
3.462,0.689,0.382,0.539,0.088
3.408,0.332,0.896,0.4,0.636
3.355,0.442,1.073,0.343,0.244
3.303,0.455,0.991,0.381,0.481
3.254,0.337,0.608,0.177,0.112
3.083,0.024,0.0,0.01,0.305
2.905,0.091,0.627,0.145,0.065
7.769,1.34,1.587,0.986,0.596
7.6,1.383,1.573,0.996,0.592
7.554,1.488,1.582,1.028,0.603
7.494,1.38,1.624,1.026,0.591
7.488,1.396,1.522,0.999,0.557
7.48,1.452,1.526,1.052,0.572
7.343,1.387,1.487,1.009,0.574
7.307,1.303,1.557,1.026,0.585
7.278,1.365,1.505,1.039,0.584
7.246,1.376,1.475,1.016,0.532
7.228,1.372,1.548,1.036,0.557
7.167,1.034,1.441,0.963,0.558
7.139,1.276,1.455,1.029,0.371
7.09,1.609,1.479,1.012,0.526
7.054,1.333,1.538,0.996,0.45
7.021,1.499,1.553,0.999,0.516
6.985,1.373,1.454,0.987,0.495
6.923,1.356,1.504,0.986,0.473
6.892,1.433,1.457,0.874,0.454
6.852,1.269,1.487,0.92,0.457
6.825,1.503,1.31,0.825,0.598
6.726,1.3,1.52,0.999,0.564
6.595,1.07,1.323,0.861,0.433
6.592,1.324,1.472,1.045,0.436
6.446,1.368,1.43,0.914,0.351
6.444,1.159,1.369,0.92,0.357
6.436,0.8,1.269,0.746,0.535
6.375,1.403,1.357,0.795,0.439
6.374,1.684,1.313,0.871,0.555
6.354,1.286,1.484,1.062,0.362
6.321,1.149,1.442,0.91,0.516
6.3,1.004,1.439,0.802,0.39
6.293,1.124,1.465,0.891,0.523
6.262,1.572,1.463,1.141,0.556
6.253,0.794,1.242,0.789,0.43
6.223,1.294,1.488,1.039,0.231
6.199,1.362,1.368,0.871,0.536
6.198,1.246,1.504,0.881,0.334
6.192,1.231,1.477,0.713,0.489
6.182,1.206,1.438,0.884,0.483
6.174,0.745,1.529,0.756,0.631
6.149,1.238,1.515,0.818,0.291
6.125,0.985,1.41,0.841,0.47
6.118,1.258,1.523,0.953,0.564
6.105,0.694,1.325,0.835,0.435
6.1,0.882,1.232,0.758,0.489
6.086,1.092,1.432,0.881,0.471
6.07,1.162,1.232,0.825,0.462
6.046,1.263,1.223,1.042,0.406
6.028,0.912,1.312,0.868,0.498
6.021,1.5,1.319,0.808,0.493
6.008,1.05,1.409,0.828,0.557
5.94,1.187,1.465,0.812,0.264
5.895,1.301,1.219,1.036,0.159
5.893,1.237,1.528,0.874,0.495
5.89,0.831,1.478,0.831,0.49
5.888,1.12,1.402,0.798,0.498
5.886,1.327,1.419,1.088,0.445
5.86,0.642,1.236,0.828,0.507
5.809,1.173,1.508,0.729,0.41
5.779,0.776,1.209,0.706,0.511
5.758,1.201,1.41,0.828,0.199
5.743,0.855,1.475,0.777,0.514
5.718,1.263,1.252,1.042,0.417
